fold,train_accuracy,test_accuracy,macro_precision,macro_recall,macro_f1,class_metrics,n_train,n_test
1,0.8815079694122354,0.882418642371192,0.8754204471544179,0.8781809012367569,0.8767985014934656,"{np.str_('Atacante'): {'precision': 0.8052456507652272, 'recall': 0.8195458498655234, 'f1': 0.8182674458338505}, np.str_('Defensa'): {'precision': 0.8671432121481153, 'recall': 0.8587807844474223, 'f1': 0.8673112237231582}, np.str_('Medio'): {'precision': 0.91095836009364, 'recall': 0.9038407477149626, 'f1': 0.9031804407393504}, np.str_('Portero'): {'precision': 0.9152908311250271, 'recall': 0.9020228130736742, 'f1': 0.9106157377025066}}",47664,11944
2,0.8819134769392929,0.8828028445971604,0.8763166458023894,0.8746031409532153,0.8754590549330917,"{np.str_('Atacante'): {'precision': 0.8631038885826945, 'recall': 0.8821385974134742, 'f1': 0.8699131840267339}, np.str_('Defensa'): {'precision': 0.8665398922493965, 'recall': 0.8673018349661453, 'f1': 0.8708231704710276}, np.str_('Medio'): {'precision': 0.8950827711433329, 'recall': 0.8955556566156521, 'f1': 0.8914283304996922}, np.str_('Portero'): {'precision': 0.9098001610320329, 'recall': 0.884319534859482, 'f1': 0.8883836850233282}}",47664,11944
3,0.8826390263021985,0.8775168835182362,0.8699808012085382,0.8740327726891197,0.8720020798544791,"{np.str_('Atacante'): {'precision': 0.8601820913552075, 'recall': 0.8603388439679204, 'f1': 0.8685836561248328}, np.str_('Defensa'): {'precision': 0.8989524052012545, 'recall': 0.896951406172272, 'f1': 0.8915198634892201}, np.str_('Medio'): {'precision': 0.8543584018664854, 'recall': 0.8532036467272255, 'f1': 0.8520367886358182}, np.str_('Portero'): {'precision': 0.8872770255358314, 'recall': 0.8807986932440963, 'f1': 0.8785627377563495}}",47664,11944
4,0.8870457852908823,0.8846638212710968,0.8758202988658567,0.879188974174451,0.8775014034964004,"{np.str_('Atacante'): {'precision': 0.8305900167371574, 'recall': 0.8290830023578024, 'f1': 0.8337867289007304}, np.str_('Defensa'): {'precision': 0.8555836455368333, 'recall': 0.8732844811614441, 'f1': 0.8583350680491001}, np.str_('Medio'): {'precision': 0.8612092535715179, 'recall': 0.8346977723094451, 'f1': 0.8515264700256031}, np.str_('Portero'): {'precision': 0.8690823832478771, 'recall': 0.8733170759104198, 'f1': 0.8674548525968271}}",47664,11944
5,0.8906746261194375,0.8848576993714226,0.8734627990824287,0.8750082922007643,0.8742348626022856,"{np.str_('Atacante'): {'precision': 0.898061095791184, 'recall': 0.8872172758066209, 'f1': 0.8999741390400001}, np.str_('Defensa'): {'precision': 0.8310417233221651, 'recall': 0.8452078536227188, 'f1': 0.8402362461821812}, np.str_('Medio'): {'precision': 0.8854124882250802, 'recall': 0.8742351082210372, 'f1': 0.8785076346844025}, np.str_('Portero'): {'precision': 0.8852469572742603, 'recall': 0.8758975879373846, 'f1': 0.8789910533345869}}",47664,11944
