learning_rate,l2_lambda,n_iter,val_accuracy,train_accuracy,gap
0.0003,0.01,2000,0.8600671140939598,0.854448279167865,-0.005618834926094718
0.0003,0.01,2500,0.8693512304250559,0.8651136036813345,-0.004237626743721412
0.0003,0.05,2000,0.8600671140939598,0.854448279167865,-0.005618834926094718
0.0003,0.05,2500,0.8693512304250559,0.8651136036813345,-0.004237626743721412
0.0005,0.01,2000,0.8804250559284116,0.8775045537340619,-0.0029205021943496945
0.0005,0.01,2500,0.8885906040268456,0.8867078899434379,-0.0018827140834077882
0.0005,0.05,2000,0.8804250559284116,0.8775045537340619,-0.0029205021943496945
0.0005,0.05,2500,0.8885906040268456,0.8867078899434379,-0.0018827140834077882
