model,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,training_time_seconds
Random_Forest,3.929940905943916,4.062911868635862,3.035212638690774,3.1468307461328084,0.6427362118775344,0.6200012360966825,3.5345981121063232
Decision_Tree,4.1666835291139375,4.311434572142671,3.2036353829392796,3.325608789491738,0.5983960362424989,0.5720914344375199,0.7666857242584229
MLP_Neural_Network,4.589516567300587,4.609428957023029,3.537317771874948,3.548813218496631,0.512919057704436,0.5062677866920318,
Ridge_Regression,5.037150507118479,5.056422776948528,3.9752388841703183,4.003065002953328,0.4130693168330236,0.4114353989213039,0.03305840492248535
Linear_Regression,5.037150507118456,5.056422780748397,3.9752388679671253,4.0030649911139395,0.41306931683302905,0.41143539803669893,0.06226205825805664
