class,precision,recall,f1
Atacante,0.9067198326578638,0.9308146557509059,0.9186092715231788
Defensa,0.8393686165273909,0.7886189773184807,0.8132027817181608
Medio,0.8241613392209847,0.8391491075023487,0.8315876974231089
Portero,0.976281712473573,0.9916118641793048,0.9838870763699314
