model,train_accuracy,test_accuracy,test_precision,test_recall,test_f1,training_time_seconds
Logistic_Regression,0.8620882047120286,0.8603046852543834,0.862468278074013,0.8603046852543834,0.8603607165616258,5.999377250671387
Random_Forest,0.8845071136922725,0.8539810290313309,0.8632643544665148,0.853981029031331,0.8533890201203513,0.4243173599243164
KNN,0.9001547006162663,0.8470824949698189,0.8489231440371555,0.847082494969819,0.8463936404295368,3.3433167934417725
Decision_Tree,0.8314016890264005,0.7986490370796205,0.8028060158133038,0.7986490370796205,0.798853478774703,0.18799924850463867
MLP_Neural_Network,0.7352923057968336,0.7293610911701364,,,,
